[2026-01-13 16:25:52] ========== Server Started ==========
[2026-01-13 16:25:52] Log file: logs\server_2026-01-13_16-25-52.log
[2026-01-13 16:25:53] Using in-memory registry (no persistence)
[2026-01-13 16:25:53] Starting server on port 5000 (mode=udp)
[2026-01-13 16:25:53] Server started successfully
[2026-01-13 16:25:53] Broadcasting server info (heartbeat timeout: 1m0s)
[2026-01-13 16:25:53] Starting TUI mode
[2026-01-13 16:26:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:26:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:26:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:26:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:26:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:26:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:27:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:27:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:27:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:27:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:27:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:27:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:28:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:28:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:28:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:28:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:28:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:28:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:29:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:29:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:29:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:29:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:29:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:29:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:30:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:30:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:30:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:30:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:30:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:30:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:31:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:31:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:31:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:31:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:31:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:31:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:32:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:32:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:32:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:32:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:32:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:32:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:33:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:33:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:33:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:33:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:33:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:33:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:34:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:34:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:34:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:34:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:34:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:34:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:35:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:35:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:35:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:35:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:35:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:35:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:36:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:36:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:36:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:36:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:36:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:36:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:37:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:37:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:37:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:37:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:37:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:37:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:38:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:38:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:38:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:38:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:38:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:38:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:39:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:39:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:39:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:39:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:39:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:39:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:40:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:40:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:40:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:40:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:40:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:40:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:41:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:41:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:41:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:41:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:41:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:41:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:42:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:42:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:42:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:42:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:42:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:42:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:43:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:43:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:43:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:43:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:43:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:43:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:44:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:44:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:44:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:44:33] Cleanup ran: removed 0 stale entries
[2026-01-13 16:44:43] Cleanup ran: removed 0 stale entries
[2026-01-13 16:44:53] Cleanup ran: removed 0 stale entries
[2026-01-13 16:45:03] Cleanup ran: removed 0 stale entries
[2026-01-13 16:45:13] Cleanup ran: removed 0 stale entries
[2026-01-13 16:45:23] Cleanup ran: removed 0 stale entries
[2026-01-13 16:45:24] TUI exited
